category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Nov 2021,0,0,0,0
2 Nov 2021,0.0222,0.0222,0.0222,0.0222
3 Nov 2021,0,0,0,0
4 Nov 2021,0.1364,0.1364,0.1364,0.1364
5 Nov 2021,0,0,0.0244,0
6 Nov 2021,0,0,0,0
7 Nov 2021,0,0,0,0
8 Nov 2021,0.3333,0.2667,0.4,0.3333
9 Nov 2021,0.0938,0.0938,0.125,0.0938
10 Nov 2021,0.0294,0,0.0588,0.0294
11 Nov 2021,0.3056,0.2778,0.3056,0.3056
12 Nov 2021,0.0152,0,0.0303,0.0152
13 Nov 2021,0.0625,0,0.0938,0.0625
14 Nov 2021,0.0952,0.0952,0.0952,0.0952
15 Nov 2021,0.2308,0.1154,0.3462,0.2308
16 Nov 2021,0.2857,0.1429,0.2857,0.2857
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0.5,0.5,0.5,0.5
21 Nov 2021,0.125,0.125,0.125,0.125
22 Nov 2021,0.0377,0.0283,0.0472,0.0377
23 Nov 2021,0.0227,0,0.0455,0.0227
24 Nov 2021,0.0139,0,0.0417,0.0139
25 Nov 2021,0.1319,0.0879,0.1648,0.1209
26 Nov 2021,0,0,0.0333,0
27 Nov 2021,0,0,0,0
28 Nov 2021,0,0,0.05,0
29 Nov 2021,0.2439,0.1707,0.2683,0.2683
30 Nov 2021,0.1077,0.1077,0.1231,0.1077
