category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Nov 2021,49.0938,5.25,92.4531,49.875
2 Nov 2021,48,5.6889,90.2889,49.0222
3 Nov 2021,48.2381,5.746,90.4444,49.4444
4 Nov 2021,46.8182,6.0455,87.5455,47.4091
5 Nov 2021,48.9024,5.9512,90.878,50.2439
6 Nov 2021,49.1569,5.9804,92.098,49.8235
7 Nov 2021,48.5417,5.875,90.9167,49.2083
8 Nov 2021,46.1,5.9333,86.1,46.9667
9 Nov 2021,48.1563,6.0313,90.0313,49.3438
10 Nov 2021,47.0882,5.9412,87.7647,48.1765
11 Nov 2021,50.6111,5.8611,95.0556,51.75
12 Nov 2021,48.9394,5.9697,91.4697,49.8788
13 Nov 2021,45.875,5.8438,86.0625,47
14 Nov 2021,47.5714,5.9524,89.6667,48.7143
15 Nov 2021,49.3846,5.9615,92.1923,50.4615
16 Nov 2021,50.5714,6.0476,94.9048,51.9524
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,55.5,6,103.5,57
21 Nov 2021,45.625,5.875,83.875,45.5
22 Nov 2021,48.7736,5.8396,91.4151,49.8491
23 Nov 2021,49.9394,5.947,93.1742,50.947
24 Nov 2021,49.0556,5.9583,91.6528,50.0417
25 Nov 2021,49.8571,5.7692,92.978,51.3187
26 Nov 2021,50.8333,5.9667,95.1333,52.0333
27 Nov 2021,48.2333,5.8333,90.8333,49.7667
28 Nov 2021,47.4,6,88.7,48.45
29 Nov 2021,49.6585,5.9268,93.1707,50.6341
30 Nov 2021,50.0923,5.9692,94.2308,51.1231
