category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Nov 2021,447.4,11.9692,938.7538,473.1846
2 Nov 2021,383.8085,18.5957,791.3617,429.3191
3 Nov 2021,498.3492,25.4762,1028.3175,513.1429
4 Nov 2021,745.9545,26.0455,1485.1364,788.1364
5 Nov 2021,828,64.0488,1568.4878,878.2683
6 Nov 2021,83.4615,2.0577,188.5385,76.5
7 Nov 2021,89.0417,0.75,233.0417,85.0833
8 Nov 2021,407.4828,23.7241,867.8621,417.4828
9 Nov 2021,711.1563,25.25,1463.5313,748.0313
10 Nov 2021,423.5,9.0588,861.0882,450.9412
11 Nov 2021,661.5,57.3611,1274.0278,686.6111
12 Nov 2021,564.7121,41.4848,1082.1515,609.1667
13 Nov 2021,214.4063,4.625,480.625,204.5938
14 Nov 2021,56.5714,1,140.5714,52
15 Nov 2021,448.5833,11,979.625,450.625
16 Nov 2021,624.5455,28.2727,1279.9545,667.3636
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,173,0,360.5,184.5
21 Nov 2021,15,0,39,12.375
22 Nov 2021,350.3774,20.1132,699.3019,364.7547
23 Nov 2021,409.203,11.4361,844.5113,433.4586
24 Nov 2021,365.8611,13.9444,779.2639,384.2222
25 Nov 2021,312.5109,10.0761,688.2283,317.7065
26 Nov 2021,476.6452,6.3548,1070.5806,490.5806
27 Nov 2021,106.5,0.6,240.7333,105.9
28 Nov 2021,125.5,0.8,296.3,128.45
29 Nov 2021,619.1951,42.7561,1211.6829,666.3659
30 Nov 2021,416.6,12.8462,915.2154,421.4154
