category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Nov 2021,3.0769,3.0154,3.1846,3.0154
2 Nov 2021,3.4043,3,4.7234,3
3 Nov 2021,3,3,3,3
4 Nov 2021,3.2727,3.2727,3.2727,3.2727
5 Nov 2021,3,3,3,3
6 Nov 2021,3,3,3,3
7 Nov 2021,3.0417,3,3.0417,3.0417
8 Nov 2021,3.4483,3.0345,3.5517,3.5517
9 Nov 2021,3,3,3,3
10 Nov 2021,3,3,3,3
11 Nov 2021,3,3,3,3
12 Nov 2021,6.5606,3,8.3939,7.0606
13 Nov 2021,3.0625,3,3.3125,3
14 Nov 2021,3,3,3,3
15 Nov 2021,3,3,3,3
16 Nov 2021,8.6818,3,13.1818,10.0455
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,3.5,3.5,3.5,3.5
21 Nov 2021,3.125,3.125,3.125,3.125
22 Nov 2021,3,3,3,3
23 Nov 2021,3.2105,3,3.8346,3
24 Nov 2021,3,3,3,3
25 Nov 2021,3.0978,3.0326,3.5,3.0326
26 Nov 2021,3,3,3,3
27 Nov 2021,3,3,3,3
28 Nov 2021,3,3,3,3
29 Nov 2021,3.122,3.122,3.122,3.122
30 Nov 2021,3.2923,3.0308,4.2,3.0308
