category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Nov 2021,10.8923,3.0154,20.0923,11.4462
2 Nov 2021,9.0851,3.0638,16.0213,9.4468
3 Nov 2021,9.8254,3.0635,17.9206,10.2222
4 Nov 2021,8.5455,3,15.4091,8.6818
5 Nov 2021,9.3659,3,16.9512,9.6585
6 Nov 2021,11.2115,3.0577,20.6346,11.5385
7 Nov 2021,11.5833,3,20.9583,12.1667
8 Nov 2021,9.2069,3,16.6897,9.5172
9 Nov 2021,8.8125,3.0313,16.0625,8.9688
10 Nov 2021,11.4118,3.0294,20.9118,11.7647
11 Nov 2021,9.5833,3,17.1944,9.9444
12 Nov 2021,10.0606,3.0152,18.3333,10.4242
13 Nov 2021,10.5,2.9688,19.5938,10.625
14 Nov 2021,9.9048,3,18.2857,10.1429
15 Nov 2021,8.6667,3.0417,15.5417,8.8333
16 Nov 2021,8.6818,3.0455,15.5455,9.0455
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,7.5,3,14,8.5
21 Nov 2021,11.375,3,20.625,12
22 Nov 2021,10.0094,3.0189,18.3774,10.3302
23 Nov 2021,10.8496,3,19.8195,11.2632
24 Nov 2021,10.5833,3,19.4167,10.9306
25 Nov 2021,10.5,3,19.0652,10.8043
26 Nov 2021,8.9032,3,16.2258,9.2581
27 Nov 2021,9.7333,3,17.8,10
28 Nov 2021,9.1,3,16,9.4
29 Nov 2021,9.9756,3.0244,18.2195,10.4146
30 Nov 2021,10.8923,3.0154,19.9538,11.3077
