category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Nov 2021,40024.6154,40000,40184.6154,40184.6154
2 Nov 2021,40000,40000,40000,40000
3 Nov 2021,40000,40000,40000,40000
4 Nov 2021,40000,40000,40000,40000
5 Nov 2021,40008.122,40000,40195.122,40000
6 Nov 2021,40030.5385,40000,40461.5385,40000
7 Nov 2021,40000,40000,40000,40000
8 Nov 2021,40000,40000,40000,40000
9 Nov 2021,40000,40000,40000,40000
10 Nov 2021,40016.2353,40000,40470.5882,40000
11 Nov 2021,40000,40000,40000,40000
12 Nov 2021,40000,40000,40000,40000
13 Nov 2021,40000,40000,40000,40000
14 Nov 2021,40000,40000,40000,40000
15 Nov 2021,40016.6667,40000,40333.3333,40000
16 Nov 2021,40000,40000,40000,40000
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,40000,40000,40000,40000
21 Nov 2021,40000,40000,40000,40000
22 Nov 2021,40003.7736,40000,40037.7358,40000
23 Nov 2021,40030.9925,40000,40270.6767,40000
24 Nov 2021,40033.3333,40000,40166.6667,40000
25 Nov 2021,40005.0217,40000,40043.4783,40043.4783
26 Nov 2021,40000,40000,40000,40000
27 Nov 2021,40013.3333,40000,40266.6667,40000
28 Nov 2021,40010,40000,40200,40000
29 Nov 2021,40000,40000,40000,40000
30 Nov 2021,40009.7231,40000,40184.6154,40000
