category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Nov 2021,64076,64076,64076,64076
2 Nov 2021,64076,64076,64076,64076
3 Nov 2021,64076,64076,64076,64076
4 Nov 2021,64076,64076,64076,64076
5 Nov 2021,64076,64076,64076,64076
6 Nov 2021,64076,64076,64076,64076
7 Nov 2021,64076,64076,64076,64076
8 Nov 2021,64076,64076,64076,64076
9 Nov 2021,64076,64076,64076,64076
10 Nov 2021,64076,64076,64076,64076
11 Nov 2021,64076,64076,64076,64076
12 Nov 2021,64076,64076,64076,64076
13 Nov 2021,64076,64076,64076,64076
14 Nov 2021,64076,64076,64076,64076
15 Nov 2021,64076,64076,64076,64076
16 Nov 2021,64076,64076,64076,64076
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,64076,64076,64076,64076
21 Nov 2021,64076,64076,64076,64076
22 Nov 2021,64076,64076,64076,64076
23 Nov 2021,64076,64076,64076,64076
24 Nov 2021,64076,64076,64076,64076
25 Nov 2021,64076,64076,64076,64076
26 Nov 2021,64076,64076,64076,64076
27 Nov 2021,64076,64076,64076,64076
28 Nov 2021,64076,64076,64076,64076
29 Nov 2021,64076,64076,64076,64076
30 Nov 2021,64076,64076,64076,64076
