category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Nov 2021,2.8615,0,18.8,4.3846
2 Nov 2021,2.8723,0.0851,14.9574,2.7234
3 Nov 2021,4.0159,0.1111,22.9841,3.8889
4 Nov 2021,4.3182,0,24.2727,3.2273
5 Nov 2021,3.561,0.0732,20.1951,3.0244
6 Nov 2021,0.9231,0,6.1538,0.8269
7 Nov 2021,1.2083,0,9.2083,1.7083
8 Nov 2021,2.4828,0.069,12.931,4.1724
9 Nov 2021,3.1563,0,14.9375,4.0938
10 Nov 2021,2.2647,0.0294,14.8529,1.2647
11 Nov 2021,2.4167,0.0278,15.1111,1.4444
12 Nov 2021,2.4242,0.0758,12.5303,1.9545
13 Nov 2021,2.375,0,12.4688,2.7188
14 Nov 2021,1.1905,0,10,0.6667
15 Nov 2021,3.9167,0,15.75,4.7083
16 Nov 2021,4.5909,0.2727,19.4545,4.0909
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,2.5,0,12,1.5
21 Nov 2021,0,0,0.375,0
22 Nov 2021,1.8019,0.0283,10.7075,1.7075
23 Nov 2021,2.3609,0.0451,11.8797,2.812
24 Nov 2021,2.25,0.0972,11.2639,3.3611
25 Nov 2021,2.3696,0.0326,12.3587,3.2717
26 Nov 2021,3.4194,0,21.3871,6.0645
27 Nov 2021,1.9333,0,13.7,1.6333
28 Nov 2021,1.2,0.05,8.15,0.8
29 Nov 2021,2.878,0.0976,11.3171,3.6098
30 Nov 2021,1.1077,0,7.7385,1.1538
