category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Nov 2021,69.3692,23.7538,169.1231,78.4
2 Nov 2021,50.617,16.4255,120.8723,49.617
3 Nov 2021,81.0635,28.8254,188.0635,79.7937
4 Nov 2021,70.6364,16.6364,235.8636,45.5455
5 Nov 2021,49.6585,13.878,174.2927,38.9756
6 Nov 2021,63.5385,24.6731,110.0769,67.4615
7 Nov 2021,77.6667,29.5833,141.1667,93.2917
8 Nov 2021,60.1034,22.3793,149.7586,63.4138
9 Nov 2021,63.4688,13,220.7188,59.6563
10 Nov 2021,123.4118,42.6471,267.2647,118.2353
11 Nov 2021,87.6944,31.4722,205.6111,75.5
12 Nov 2021,60.7424,20.0909,161.1364,50.9091
13 Nov 2021,73.1563,24.6875,164.0938,65.6563
14 Nov 2021,60.619,28.7143,97.4762,61.0476
15 Nov 2021,82.4167,16.5833,217.2083,101.2917
16 Nov 2021,73.3182,17.4091,260.4091,63.5455
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,59.5,31,104,49
21 Nov 2021,67.5,35.125,112.75,71.75
22 Nov 2021,58.1509,19,151.1698,56.8396
23 Nov 2021,71.8947,23.8797,183.3609,64.6391
24 Nov 2021,65.0417,22.125,163.1806,55.7361
25 Nov 2021,84.8696,22.4674,203.6848,84.4457
26 Nov 2021,98.9032,21.5161,273.1613,108.3548
27 Nov 2021,117.8333,39.9,204.4,118.1
28 Nov 2021,77.05,27.6,153.85,71.45
29 Nov 2021,73.1707,17.4146,217.5854,72.1707
30 Nov 2021,61.9692,17.2769,194.3846,52.9077
