category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Nov 2021,1367.0938,1267.9375,1369.6875,1369.6875
2 Nov 2021,1352.8889,1275.3556,1363.9111,1363.6444
3 Nov 2021,1351.2381,1156.5873,1358.6667,1358.6667
4 Nov 2021,1402.5455,1402.5455,1402.5455,1402.5455
5 Nov 2021,1398.9268,1357.8537,1400,1400
6 Nov 2021,1335.2549,1227.9216,1338,1338
7 Nov 2021,1334.8333,1204.3333,1338,1338
8 Nov 2021,1382.9,1220.4,1387.2,1387.2
9 Nov 2021,1401.4063,1374.75,1402.625,1402.625
10 Nov 2021,1343.5882,1165.7059,1354.4118,1354.4118
11 Nov 2021,1404.0278,1212.6667,1410.1111,1410.1111
12 Nov 2021,1366.1515,1281.1212,1369,1369
13 Nov 2021,1329.8125,1120.1875,1347.6875,1347.6875
14 Nov 2021,1335.381,1108.8571,1342.2857,1342.2857
15 Nov 2021,1389,1296.3846,1395.8462,1395.8462
16 Nov 2021,1400.8095,1319.0476,1402.6667,1402.6667
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,1383,1383,1383,1383
21 Nov 2021,1346.5,1237.75,1349.25,1349.25
22 Nov 2021,1355.5472,1214.6038,1361.5472,1361.5472
23 Nov 2021,1359.4394,1221.2727,1363.3636,1363.3636
24 Nov 2021,1360.9444,1251.5833,1364.6944,1364.6944
25 Nov 2021,1363.9231,1212.7692,1368.2418,1368.2418
26 Nov 2021,1393.1667,1367,1393.7333,1393.7333
27 Nov 2021,1332.5667,1124.1333,1338,1338
28 Nov 2021,1333,1027.9,1348.7,1348.7
29 Nov 2021,1388.3415,1267.3659,1391.3171,1391.3171
30 Nov 2021,1384.8615,1335.2923,1386.0308,1386.0308
