category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,843.0217,3.5652,1420.5217,966.3478
8 Oct 2022,1270.3333,8.3667,1912.4,1461.8667
9 Oct 2022,49,3.8571,112.4286,47.5
10 Oct 2022,506.2857,3.881,1049.0952,579.6905
11 Oct 2022,714.5091,4.2364,1326.7273,851.6
12 Oct 2022,359.6286,5.6571,813.2571,369.4571
13 Oct 2022,1007.5789,1.3684,2036.2632,1052.9474
14 Oct 2022,339.2941,1.9412,974.3529,267.8824
15 Oct 2022,533.1111,2.1111,1341.7778,496.1111
16 Oct 2022,0,0,0,0
17 Oct 2022,1420.9231,10.3077,2154.8462,1607
18 Oct 2022,520.9722,11.4722,875.9722,637.2222
19 Oct 2022,1263.4286,0.0357,1998.75,1465.2143
20 Oct 2022,1313.6216,7,2094.1892,1483.2703
21 Oct 2022,460.6667,21.5833,699.1667,483.3333
22 Oct 2022,60.5,0,169,48.5
23 Oct 2022,11.5714,0.8571,28.1429,10.1429
24 Oct 2022,607.5357,0.8929,1006.5,718.6429
25 Oct 2022,1262.5,0,2094.4375,1455.125
26 Oct 2022,1156.5,0,2046.5,1477
27 Oct 2022,769.3,0.7,1352,892.9
28 Oct 2022,900.1667,0.2222,1362.8333,1159.6667
29 Oct 2022,1354.4,0,2279.4,1456.6
30 Oct 2022,11.2,0,22.4,11.2
31 Oct 2022,727.7778,0,1296.2222,836.8889
