category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,3106,66.4783,6459.2826,3294.0435
8 Oct 2022,4503.6,109.7,9093.7,4757.8333
9 Oct 2022,151.5,28.0714,282.9286,157.9286
10 Oct 2022,2130.1429,49,4645.2143,2255.2143
11 Oct 2022,3894.1455,49,8652.6,4103
12 Oct 2022,1100.7143,53.2286,2383.8571,1146.9429
13 Oct 2022,2595,71.7895,5628.6842,2619.8421
14 Oct 2022,971.5882,25.7647,2435.7059,857.7059
15 Oct 2022,1589.2222,57.3333,3521.2222,1581
16 Oct 2022,0,0,0,0
17 Oct 2022,7264.6154,402.4615,14949.8462,7905
18 Oct 2022,6012.1667,437.2778,12763.9722,6118.6389
19 Oct 2022,7658.6071,68.8929,16439.6071,7818.0714
20 Oct 2022,6940.4865,391.7297,14545.1351,7246.2432
21 Oct 2022,4350.0833,375.25,8732.8333,4469.9167
22 Oct 2022,2578.5,30.5,6188,2623.5
23 Oct 2022,2215,123.8571,5114.7857,2179.5
24 Oct 2022,5261.8929,70.4286,11663.1429,5367.2143
25 Oct 2022,7293.5,74.3125,15854.4375,7710.0625
26 Oct 2022,7230,8.5,18050,6055.5
27 Oct 2022,6420,94.4,14339.6,6293.5
28 Oct 2022,7006.6667,39.4444,15688.8333,7301.8333
29 Oct 2022,6736.6,43.8,14244.6,6846.4
30 Oct 2022,1701,25.2,4042.6,1607.4
31 Oct 2022,6068.1111,69.2222,13974.2222,5901.2222
