category,Average AdvMSS,Minimum AdvMSS,Maximum AdvMSS,Median AdvMSS
1 Apr 2022,1448,1448,1448,1448
2 Apr 2022,1448,1448,1448,1448
3 Apr 2022,1448,1448,1448,1448
4 Apr 2022,1448,1448,1448,1448
5 Apr 2022,1448,1448,1448,1448
6 Apr 2022,1448,1448,1448,1448
7 Apr 2022,1448,1448,1448,1448
8 Apr 2022,1448,1448,1448,1448
9 Apr 2022,1448,1448,1448,1448
10 Apr 2022,1448,1448,1448,1448
11 Apr 2022,1448,1448,1448,1448
12 Apr 2022,1448,1448,1448,1448
13 Apr 2022,1448,1448,1448,1448
14 Apr 2022,1448,1448,1448,1448
15 Apr 2022,1448,1448,1448,1448
16 Apr 2022,1448,1448,1448,1448
17 Apr 2022,1448,1448,1448,1448
18 Apr 2022,1448,1448,1448,1448
19 Apr 2022,1448,1448,1448,1448
20 Apr 2022,1448,1448,1448,1448
21 Apr 2022,1448,1448,1448,1448
22 Apr 2022,1448,1448,1448,1448
23 Apr 2022,1448,1448,1448,1448
24 Apr 2022,1448,1448,1448,1448
25 Apr 2022,1448,1448,1448,1448
26 Apr 2022,1448,1448,1448,1448
27 Apr 2022,1448,1448,1448,1448
28 Apr 2022,1448,1448,1448,1448
29 Apr 2022,1448,1448,1448,1448
30 Apr 2022,1448,1448,1448,1448
