category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Apr 2022,2060.1143,271.3714,3545.6571,2125.8286
2 Apr 2022,1259.8947,231.2632,2271.1579,1258.5789
3 Apr 2022,1362.4,243.95,2481.8,1369.2
4 Apr 2022,1934.1176,212.3529,3633.3824,1990.1471
5 Apr 2022,1810.9565,230.0435,3292,1846.2174
6 Apr 2022,2138.2593,183.0741,3869.9259,2201.5556
7 Apr 2022,1756.3256,199.7442,3068.6744,1818.814
8 Apr 2022,1736.7308,68.4615,3075.9231,1906.2308
9 Apr 2022,2215.1818,245.7273,3885.2727,2274.9545
10 Apr 2022,514.4,20.05,1007.75,530.15
11 Apr 2022,1302.5135,175.5135,2283,1336.2162
12 Apr 2022,1245.3913,195.8986,2201.8986,1281.0725
13 Apr 2022,401,26,835.6667,387.1667
14 Apr 2022,336.8723,23.5319,613.3617,350.0851
15 Apr 2022,461.8919,56.9459,824.6757,474.6486
16 Apr 2022,2594.4,42.6,5110,2713.4
17 Apr 2022,3753.6,130.6,7365.6,3893.4
18 Apr 2022,352,20.439,593.6341,375.1707
19 Apr 2022,793.1,92.5,1444.1286,818.6857
20 Apr 2022,2120.5417,301.9167,3688.0833,2191.9583
21 Apr 2022,2114.3958,214.2917,3718.5417,2195.9583
22 Apr 2022,2323.5294,193.7059,4219.0294,2446.5882
23 Apr 2022,1122.7143,173.4286,1984.1429,1093
24 Apr 2022,2174.7813,394.2813,3618.1875,2301.2188
25 Apr 2022,1624.2118,219.7059,2803.8118,1711.8706
26 Apr 2022,2360.7838,445.5405,4161.0541,2467.5676
27 Apr 2022,1845.0323,345.2903,3244.0323,1884.6452
28 Apr 2022,1690.6667,300.4286,2915.5238,1714.881
29 Apr 2022,807.3077,79.6731,1467.7308,833.0577
30 Apr 2022,1248.8636,90.9545,2210.3636,1292.1364
