category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Apr 2022,1371.6571,1371.6571,1371.6571,1371.6571
2 Apr 2022,1351.0526,1351.0526,1351.0526,1351.0526
3 Apr 2022,1359.7,1359.7,1359.7,1359.7
4 Apr 2022,1380.2353,1380.2353,1380.2353,1380.2353
5 Apr 2022,1391.0435,1391.0435,1391.0435,1391.0435
6 Apr 2022,1390.8148,1390.8148,1390.8148,1390.8148
7 Apr 2022,1387.0233,1387.0233,1387.0233,1387.0233
8 Apr 2022,1372.4615,1372.4615,1372.4615,1372.4615
9 Apr 2022,1364.6364,1364.6364,1364.6364,1364.6364
10 Apr 2022,1338,1338,1338,1338
11 Apr 2022,1374.7778,1374.7778,1374.7778,1374.7778
12 Apr 2022,1379.9718,1379.9718,1379.9718,1379.9718
13 Apr 2022,1353.5,1353.5,1353.5,1353.5
14 Apr 2022,1338,1338,1338,1338
15 Apr 2022,1338,1338,1338,1338
16 Apr 2022,1338,1338,1338,1338
17 Apr 2022,1338,1338,1338,1338
18 Apr 2022,1350.8571,1350.8571,1350.8571,1350.8571
19 Apr 2022,1346.9855,1346.9855,1346.9855,1346.9855
20 Apr 2022,1372.8219,1372.8219,1372.8219,1372.8219
21 Apr 2022,1356.4681,1356.4681,1356.4681,1356.4681
22 Apr 2022,1374.4706,1374.4706,1374.4706,1374.4706
23 Apr 2022,1424,1424,1424,1424
24 Apr 2022,1403.5152,1403.5152,1403.5152,1403.5152
25 Apr 2022,1367.9059,1367.9059,1367.9059,1367.9059
26 Apr 2022,1394.973,1394.973,1394.973,1394.973
27 Apr 2022,1396,1396,1396,1396
28 Apr 2022,1372.7805,1372.7805,1372.7805,1372.7805
29 Apr 2022,1357.0769,1357.0769,1357.0769,1357.0769
30 Apr 2022,1346.4545,1346.4545,1346.4545,1346.4545
