category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Apr 2022,2077.0571,277.8857,3572.1143,2143.1714
2 Apr 2022,1277.4211,237.6842,2295.2105,1277.0526
3 Apr 2022,1381.35,249.75,2510.6,1389.55
4 Apr 2022,1954.2059,218.5,3665.2353,2011.1176
5 Apr 2022,1833.2391,235.8478,3327.8478,1869.5435
6 Apr 2022,2158.4444,189.037,3903.6296,2222.037
7 Apr 2022,1777.5581,205.7674,3105.6977,1839.814
8 Apr 2022,1755.9615,75.1538,3105.2308,1926.3077
9 Apr 2022,2229.1818,251.8182,3905.8182,2289.2273
10 Apr 2022,532.05,27.1,1031.5,548.6
11 Apr 2022,1326.8108,181.3784,2325.2973,1361.1351
12 Apr 2022,1267.3188,201.8841,2238.5072,1303.6812
13 Apr 2022,429.1667,31.6667,884.1667,415
14 Apr 2022,359.5957,29.9787,651.1702,373.5319
15 Apr 2022,483.5405,63.5135,860.7568,496.8649
16 Apr 2022,2609.4,49.4,5130.6,2728.8
17 Apr 2022,3774.1,136.7,7395.3,3916.1
18 Apr 2022,377,26.6829,632.8537,401.6098
19 Apr 2022,814.4286,98.4,1477.8143,841.0571
20 Apr 2022,2137.9028,307.9028,3714.6944,2209.8194
21 Apr 2022,2129.5625,220.3333,3740.8958,2211.6875
22 Apr 2022,2340.3824,200,4245.7059,2463.3824
23 Apr 2022,1138.7143,180.1429,2007.8571,1110.7143
24 Apr 2022,2189.9375,400.1875,3641.625,2316.875
25 Apr 2022,1645.4235,225.5765,2837.5176,1733.9059
26 Apr 2022,2381.3514,451.1892,4195.5946,2489.3243
27 Apr 2022,1866.2581,351.3226,3280.0323,1906.2903
28 Apr 2022,1711.3571,306.7381,2949.8571,1735.9524
29 Apr 2022,828.2115,86.1346,1501.4038,854.5385
30 Apr 2022,1266.7727,97.5455,2236.3182,1310.7273
