category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Apr 2022,0,0,0,0
2 Apr 2022,0,0,0,0
3 Apr 2022,0,0,0,0
4 Apr 2022,0.8235,0.8235,0.8235,0.8235
5 Apr 2022,0.4783,0.2609,0.5435,0.5435
6 Apr 2022,0,0,0,0
7 Apr 2022,0,0,0,0
8 Apr 2022,0.1538,0.1538,0.1538,0.1538
9 Apr 2022,0.1818,0.1364,0.3182,0.1818
10 Apr 2022,0,0,0,0
11 Apr 2022,0.1667,0.1389,0.1944,0.1667
12 Apr 2022,0.2817,0.2535,0.3099,0.2817
13 Apr 2022,0,0,0,0
14 Apr 2022,0,0,0,0
15 Apr 2022,0,0,0,0
16 Apr 2022,0,0,0,0
17 Apr 2022,0,0,0,0
18 Apr 2022,0.5952,0.4524,0.5952,0.5952
19 Apr 2022,0,0,0,0
20 Apr 2022,0.0274,0.0137,0.0274,0.0274
21 Apr 2022,0,0,0,0
22 Apr 2022,0,0,0,0
23 Apr 2022,2.1429,1.5714,2.1429,2.1429
24 Apr 2022,1.2424,1.0909,1.2727,1.2727
25 Apr 2022,0.0118,0.0118,0.0118,0.0118
26 Apr 2022,0,0,0,0
27 Apr 2022,0,0,0,0
28 Apr 2022,0,0,0,0
29 Apr 2022,0,0,0,0
30 Apr 2022,0,0,0,0
