category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Apr 2022,2.5714,0,22.7714,3.6
2 Apr 2022,2.3684,0,28.2632,1.5263
3 Apr 2022,3.25,0,28.8,6.7
4 Apr 2022,5.4412,0,50.2059,1.9118
5 Apr 2022,8.7391,0,57.913,8.6304
6 Apr 2022,6.5926,0,63.5556,5.1852
7 Apr 2022,9.3023,0,91.2791,9.1395
8 Apr 2022,9.8462,0,82.6154,8.2692
9 Apr 2022,1.6364,0,22.5909,0.6818
10 Apr 2022,3.2,0,55.5,0
11 Apr 2022,8.5833,0,75.8889,9.6944
12 Apr 2022,5.8028,0,42.0282,8.7606
13 Apr 2022,4.25,0,30.5,3
14 Apr 2022,2.4894,0,27.0851,3.8298
15 Apr 2022,1.1081,0,11.3243,0.4324
16 Apr 2022,0.4,0,9,0
17 Apr 2022,1.7,0,10.9,4.2
18 Apr 2022,2.7381,0,24.8571,2.0476
19 Apr 2022,1.3188,0,15.1594,1.7681
20 Apr 2022,4.863,0,38.3973,8.8082
21 Apr 2022,1.5319,0,16.4681,1.1489
22 Apr 2022,3.4706,0,32,5.3824
23 Apr 2022,3.8571,0,29.1429,5.4286
24 Apr 2022,2.9091,0,22.5758,2.6364
25 Apr 2022,7.5059,0,60,9.4471
26 Apr 2022,9.9459,0,73.5946,6.3514
27 Apr 2022,12.8065,0,74.1935,15.6452
28 Apr 2022,6.8293,0,59.2439,4
29 Apr 2022,6.8269,0,53.2308,13.0385
30 Apr 2022,2.3636,0,27.7727,0.9545
