category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Apr 2022,356.8857,0.0571,756.8,382.4571
2 Apr 2022,162.7895,5.6316,320.6842,170.9474
3 Apr 2022,242.85,17.65,474.75,260.2
4 Apr 2022,170.1471,0.3824,412.5588,176.7353
5 Apr 2022,422.413,0.913,925.8478,458.5217
6 Apr 2022,416.1481,0.6667,894.963,446.5556
7 Apr 2022,328.9767,9.8372,771.2093,331.4651
8 Apr 2022,104.1154,1.1923,284,85.3846
9 Apr 2022,267.4545,15.0909,504.5909,277.4091
10 Apr 2022,9.95,0,31.85,6.9
11 Apr 2022,259.8611,38.0278,492.1667,270.8889
12 Apr 2022,272.9577,15.662,569.9859,281.0282
13 Apr 2022,192.5,1.5,387.25,209.25
14 Apr 2022,5.8298,0.1702,14.9149,5.1277
15 Apr 2022,3.1351,0.1081,6.8649,3.1351
16 Apr 2022,1.2,0,3.6,0.4
17 Apr 2022,3.4,0,5.1,3.9
18 Apr 2022,4.2857,0,10.9286,3.5714
19 Apr 2022,90.3043,5.8841,180.7826,99.5362
20 Apr 2022,282.589,9.7534,617.6712,281.9315
21 Apr 2022,192.2766,0.0426,413.9787,203.0213
22 Apr 2022,248.9118,19.3235,586.7647,237.2941
23 Apr 2022,130.7143,2.7143,234,136.8571
24 Apr 2022,341.3333,25.2121,677.4242,347
25 Apr 2022,223.2824,4.4118,507.4235,223.1176
26 Apr 2022,401.4595,4.4865,859.973,419.9189
27 Apr 2022,425.5806,9.0968,983.6129,417.5161
28 Apr 2022,282.1463,9.2683,635.7805,299.7073
29 Apr 2022,48.2308,0.8269,124.25,48.1154
30 Apr 2022,94.6818,6.9091,181.4091,105.2727
