category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Apr 2022,1371.6571,1371.6571,1371.6571,1371.6571
2 Apr 2022,1351.0526,1351.0526,1351.0526,1351.0526
3 Apr 2022,1359.7,1359.7,1359.7,1359.7
4 Apr 2022,1380.2353,1380.2353,1380.2353,1380.2353
5 Apr 2022,1391.0435,1391.0435,1391.0435,1391.0435
6 Apr 2022,1390.8148,1390.8148,1390.8148,1390.8148
7 Apr 2022,1387.0233,1387.0233,1387.0233,1387.0233
8 Apr 2022,1372.4615,1372.4615,1372.4615,1372.4615
9 Apr 2022,1364.6364,1364.6364,1364.6364,1364.6364
10 Apr 2022,1338,1338,1338,1338
11 Apr 2022,1375.4595,1375.4595,1375.4595,1375.4595
12 Apr 2022,1379.3913,1379.3913,1379.3913,1379.3913
13 Apr 2022,1369,1369,1369,1369
14 Apr 2022,1338,1338,1338,1338
15 Apr 2022,1338,1338,1338,1338
16 Apr 2022,1338,1338,1338,1338
17 Apr 2022,1338,1338,1338,1338
18 Apr 2022,1351.1707,1351.1707,1351.1707,1351.1707
19 Apr 2022,1347.7429,1347.7429,1347.7429,1347.7429
20 Apr 2022,1373.3056,1373.3056,1373.3056,1373.3056
21 Apr 2022,1356.7083,1356.7083,1356.7083,1356.7083
22 Apr 2022,1374.4706,1374.4706,1374.4706,1374.4706
23 Apr 2022,1424,1424,1424,1424
24 Apr 2022,1403.625,1403.625,1403.625,1403.625
25 Apr 2022,1367.9059,1367.9059,1367.9059,1367.9059
26 Apr 2022,1394.973,1394.973,1394.973,1394.973
27 Apr 2022,1396,1396,1396,1396
28 Apr 2022,1373.4286,1373.4286,1373.4286,1373.4286
29 Apr 2022,1357.0769,1357.0769,1357.0769,1357.0769
30 Apr 2022,1346.4545,1346.4545,1346.4545,1346.4545
