category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Apr 2022,0,0,0,0
2 Apr 2022,1.1579,0,61.5789,0
3 Apr 2022,0,0,0,0
4 Apr 2022,4.2941,0,68.6765,0
5 Apr 2022,0,0,0,0
6 Apr 2022,1,0,43.1852,0
7 Apr 2022,0,0,0,0
8 Apr 2022,24.9231,0,270.8846,0
9 Apr 2022,0,0,0,0
10 Apr 2022,0,0,0,0
11 Apr 2022,5.4595,0,63.6486,0
12 Apr 2022,281.8841,0,714.7681,288.9565
13 Apr 2022,0,0,0,0
14 Apr 2022,0,0,0,0
15 Apr 2022,0,0,0,0
16 Apr 2022,0,0,0,0
17 Apr 2022,0,0,0,0
18 Apr 2022,0.6098,0,28.4878,0
19 Apr 2022,36.4,0,201.7714,109.1429
20 Apr 2022,1.25,0,32.5139,0
21 Apr 2022,0,0,0,0
22 Apr 2022,0.7059,0,34.5882,0
23 Apr 2022,23.5714,0,504.1429,0
24 Apr 2022,136.125,0,736.9063,0
25 Apr 2022,218.4588,0,760.6353,159.1647
26 Apr 2022,2.7297,0,95.2432,0
27 Apr 2022,44.2258,0,379.1935,0
28 Apr 2022,3.6429,0,83.9286,0
29 Apr 2022,0,0,0,0
30 Apr 2022,1.2727,0,53.0909,0
