category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Apr 2022,40008.1714,40000,40228.5714,40000
2 Apr 2022,40030.0526,40000,40421.0526,40000
3 Apr 2022,40000,40000,40000,40000
4 Apr 2022,40000,40000,40000,40000
5 Apr 2022,40000,40000,40000,40000
6 Apr 2022,40000,40000,40000,40000
7 Apr 2022,40000,40000,40000,40000
8 Apr 2022,40000,40000,40000,40000
9 Apr 2022,40000,40000,40000,40000
10 Apr 2022,40030.75,40000,40800,40000
11 Apr 2022,40000,40000,40000,40000
12 Apr 2022,40035.2113,40000,40169.0141,40000
13 Apr 2022,40000,40000,40000,40000
14 Apr 2022,40000,40000,40000,40000
15 Apr 2022,40000,40000,40000,40000
16 Apr 2022,40000,40000,40000,40000
17 Apr 2022,40000,40000,40000,40000
18 Apr 2022,40000,40000,40000,40000
19 Apr 2022,40000,40000,40000,40000
20 Apr 2022,40004.9863,40000,40109.589,40000
21 Apr 2022,40000,40000,40000,40000
22 Apr 2022,40000,40000,40000,40000
23 Apr 2022,40000,40000,40000,40000
24 Apr 2022,40016.1515,40000,40242.4242,40000
25 Apr 2022,40000,40000,40000,40000
26 Apr 2022,40006.3514,40000,40108.1081,40000
27 Apr 2022,40000,40000,40000,40000
28 Apr 2022,40000,40000,40000,40000
29 Apr 2022,40007,40000,40076.9231,40000
30 Apr 2022,40000,40000,40000,40000
